no,localidad,poblacion_total,pct_del_total_municipal,poblacion_femenina,pct_femenino,poblacion_masculina,pct_masculino,fuente
1,Tejupilco de Hidalgo,30967,39.1,16277,52.6,14690,47.4,"PDM Tejupilco 2025-2027, Cuadro 26 (Censo INEGI 2020)"
2,Acamuchitlán,189,0.2,92,48.7,97,51.3,"PDM Tejupilco 2025-2027, Cuadro 26 (Censo INEGI 2020)"
3,El Aguacate de Monte de Dios,169,0.2,93,55.0,76,45.0,"PDM Tejupilco 2025-2027, Cuadro 26 (Censo INEGI 2020)"
4,Almoloya de las Granadas,887,1.1,425,47.9,462,52.1,"PDM Tejupilco 2025-2027, Cuadro 26 (Censo INEGI 2020)"
5,Las Anonas,248,0.3,133,53.6,115,46.4,"PDM Tejupilco 2025-2027, Cuadro 26 (Censo INEGI 2020)"
6,Antimonio Pantoja,57,0.1,34,59.6,23,40.4,"PDM Tejupilco 2025-2027, Cuadro 26 (Censo INEGI 2020)"
7,Santiago Arizmendi (Arizmendi),84,0.1,46,54.8,38,45.2,"PDM Tejupilco 2025-2027, Cuadro 26 (Censo INEGI 2020)"
8,Arballo,334,0.4,171,51.2,163,48.8,"PDM Tejupilco 2025-2027, Cuadro 26 (Censo INEGI 2020)"
9,Barranca de Ixtapan,290,0.4,157,54.1,133,45.9,"PDM Tejupilco 2025-2027, Cuadro 26 (Censo INEGI 2020)"
10,Bejucos,2437,3.1,1248,51.2,1189,48.8,"PDM Tejupilco 2025-2027, Cuadro 26 (Censo INEGI 2020)"
11,Cerro de Cacalotepec (Cacalotepec),217,0.3,107,49.3,110,50.7,"PDM Tejupilco 2025-2027, Cuadro 26 (Censo INEGI 2020)"
12,Campanario de Ixtapan (El Campanario),291,0.4,156,53.6,135,46.4,"PDM Tejupilco 2025-2027, Cuadro 26 (Censo INEGI 2020)"
13,La Cañada,118,0.1,64,54.2,54,45.8,"PDM Tejupilco 2025-2027, Cuadro 26 (Censo INEGI 2020)"
14,Cañadas de San Simón (Cañada de Chivas),161,0.2,84,52.2,77,47.8,"PDM Tejupilco 2025-2027, Cuadro 26 (Censo INEGI 2020)"
15,Rincón de Carboneras (Carboneras),3,0.0,,0.0,,0.0,"PDM Tejupilco 2025-2027, Cuadro 26 (Censo INEGI 2020)"
16,Cerro de los Elizaldes,4,0.0,,0.0,,0.0,"PDM Tejupilco 2025-2027, Cuadro 26 (Censo INEGI 2020)"
17,El Cirián de la Laguna (El Cirián),455,0.6,251,55.2,204,44.8,"PDM Tejupilco 2025-2027, Cuadro 26 (Censo INEGI 2020)"
18,El Ciruelo,89,0.1,48,53.9,41,46.1,"PDM Tejupilco 2025-2027, Cuadro 26 (Censo INEGI 2020)"
19,El Corupo,53,0.1,24,45.3,29,54.7,"PDM Tejupilco 2025-2027, Cuadro 26 (Censo INEGI 2020)"
20,Cuadrilla de López,276,0.3,148,53.6,128,46.4,"PDM Tejupilco 2025-2027, Cuadro 26 (Censo INEGI 2020)"
21,Cuadrilla de los Martínez (Los Martínez),466,0.6,235,50.4,231,49.6,"PDM Tejupilco 2025-2027, Cuadro 26 (Censo INEGI 2020)"
22,Los Melchores de San Lucas (Los Melchores),397,0.5,207,52.1,190,47.9,"PDM Tejupilco 2025-2027, Cuadro 26 (Censo INEGI 2020)"
23,La Florida (Kilómetro 5),489,0.6,255,52.1,234,47.9,"PDM Tejupilco 2025-2027, Cuadro 26 (Censo INEGI 2020)"
24,Santa Rosa (Las Juntas),5,0.0,,0.0,,0.0,"PDM Tejupilco 2025-2027, Cuadro 26 (Censo INEGI 2020)"
25,Los Cuervos,120,0.2,63,52.5,57,47.5,"PDM Tejupilco 2025-2027, Cuadro 26 (Censo INEGI 2020)"
26,Cuevillas,36,0.0,22,61.1,14,38.9,"PDM Tejupilco 2025-2027, Cuadro 26 (Censo INEGI 2020)"
27,Epazotes,254,0.3,129,50.8,125,49.2,"PDM Tejupilco 2025-2027, Cuadro 26 (Censo INEGI 2020)"
28,La Estancia de Ixtapan,424,0.5,232,54.7,192,45.3,"PDM Tejupilco 2025-2027, Cuadro 26 (Censo INEGI 2020)"
29,San Miguel Ixtapan,1496,1.9,774,51.7,722,48.3,"PDM Tejupilco 2025-2027, Cuadro 26 (Censo INEGI 2020)"
30,Jalpan (Jalpan San Simón),556,0.7,282,50.7,274,49.3,"PDM Tejupilco 2025-2027, Cuadro 26 (Censo INEGI 2020)"
31,La Joya de San Lucas,65,0.1,37,56.9,28,43.1,"PDM Tejupilco 2025-2027, Cuadro 26 (Censo INEGI 2020)"
32,Juluapan (Juloapan),361,0.5,177,49.0,184,51.0,"PDM Tejupilco 2025-2027, Cuadro 26 (Censo INEGI 2020)"
33,La Labor de Zaragoza,975,1.2,531,54.5,444,45.5,"PDM Tejupilco 2025-2027, Cuadro 26 (Censo INEGI 2020)"
34,Llano Grande,747,0.9,401,53.7,346,46.3,"PDM Tejupilco 2025-2027, Cuadro 26 (Censo INEGI 2020)"
35,El Mamey de San Lucas,323,0.4,158,48.9,165,51.1,"PDM Tejupilco 2025-2027, Cuadro 26 (Censo INEGI 2020)"
36,Mazatepec,246,0.3,135,54.9,111,45.1,"PDM Tejupilco 2025-2027, Cuadro 26 (Censo INEGI 2020)"
